state_ut,district,Disease,Cases,Deaths,day,mon,year,Latitude,Longitude,preci,LAI,Temp
Maharashtra,Thane,Dengue,1,1,1,11,2021,19.1943294,72.9701779,0.000084,0,302.9566666
Telangana,Nalgonda,Dengue,9,0,15,11,2021,16.8579636,79.21749353,0.4669624216,5,299.08
Mizoram,Aizawl West,Dengue,16,0,2,12,2021,23.7435236,92.7382905,0.0000567,0,295.7433334
Maharashtra,Satara,Dengue,13,0,14,9,2021,17.63612885,74.29827808,0.6398437365,0,300.14
Assam,Nagaon,Dengue,1,0,20,12,2021,26.30414915,92.71605974,0.0000634,23,295.6033334
Telangana,Nalgonda,Dengue,8,0,20,12,2021,16.8579636,79.21749353,0.003025986003,12,300.728
Karnataka,Vijayapur,Dengue,48,0,3,1,2020,16.8054103,75.7179353,0.06088962777,7,302.42
Karnataka,Vijayapur,Dengue,48,0,3,1,2020,16.8054103,75.7179353,0.06088962777,7,302.42
Maharashtra,Kolhapur,Dengue,2,1,18,1,2020,16.7028412,74.2405329,0.0000603,8,303.6533334
Karnataka,Tumakuru,Dengue,15,0,5,1,2020,13.3400771,77.1006208,0.02698392215,8,301.34
Kerala,Kozhikode,Dengue,25,0,5,12,2019,11.2450558,75.7754716,0.7639986811,34,0
Maharashtra,Satara,Dengue,6,0,18,1,2020,17.63612885,74.29827808,0.0000966,8,304.48
Maharashtra,Thane,Dengue,6,0,20,1,2020,19.1943294,72.9701779,0.0002913774879,11,301.43
Karnataka,Raichur,Dengue,15,0,16,3,2020,16.083333,77.166667,0.001050071649,7,312.604
Kerala,Ernakulam,Dengue,17,0,3,4,2020,9.98408,76.2741457,0.03963364102,29,305.22
Kerala,Palakkad,Dengue,12,0,10,4,2020,10.78789845,76.47408711,0.4110630692,23,305.49
Kerala,Kasaragod,Dengue,44,0,7,5,2020,12.5035577,74.9907022,0.1237147272,0,298.84
Kerala,Kollam,Dengue,13,1,9,5,2020,8.8879509,76.5955013,0.511848352,18,303.7
Kerala,Pathanamthitta,Dengue,18,0,3,4,2020,9.2780841,76.9737443,0.05433800572,37,306.664
Kerala,Ernakulam,Dengue,43,0,13,4,2020,9.98408,76.2741457,0.2505937443,0,304.884
Telangana,Wanaparthy,Dengue,73,0,6,4,2020,16.2852944,77.98644727,0.0001341205911,0,315.388
Maharashtra,Chandrapur,Dengue,5,0,23,5,2020,20.0967555,79.50454752,0.003793196938,0,311.028
Maharashtra,Washim,Dengue,6,0,22,4,2020,20.28741775,77.2369655,0.0002937726392,0,321.2
Tamil Nadu,Dindigul-Palani,Dengue,57,0,7,6,2020,10.4485636,77.5314268,0.573766176,14,305.2
Kerala,Ernakulam,Dengue,20,0,27,5,2020,9.98408,76.2741457,0.5217521455,25,301.58
Kerala,Kannur,Dengue,174,2,3,6,2020,11.8763836,75.3737973,0,8,301.96
Kerala,Kannur,Dengue,94,2,8,6,2020,11.8763836,75.3737973,0,0,301.16
Kerala,Kozhikode,Dengue,30,0,20,1,2020,11.2450558,75.7754716,0.002652047895,31,0
Kerala,Kozhikode,Dengue,33,0,30,5,2020,11.2450558,75.7754716,0.4320908522,0,0
Kerala,Kannur,Dengue,35,0,3,7,2020,11.8763836,75.3737973,0,0,299.12
Uttar Pradesh,Fatehpur,Dengue,7,0,11,8,2020,25.8435395,80.91800397,0.6019255674,0,304.04
Uttar Pradesh,Fatehpur,Dengue,18,1,9,8,2020,25.8435395,80.91800397,0.5774017648,11,304.04
Maharashtra,Wardha,Dengue,6,0,7,8,2020,20.82562315,78.6131455,0.5529784197,4,302.74
Maharashtra,Amravati,Dengue,5,0,24,9,2020,20.9521098,77.7333168,1.329761391,16,302.56
Uttar Pradesh,Fatehpur,Dengue,5,0,6,10,2020,25.8435395,80.91800397,0.002515332414,0,305.3533334
Tamil Nadu,Ramanathapuram Paramakudi,Dengue,21,0,15,10,2020,9.4684575,78.7462095,0.1927879139,0,0
Karnataka,Dharwad,Dengue,8,0,30,10,2020,15.4540505,75.0066516,0.0714202973,0,306.372
Madhya Pradesh,Khargone,Dengue,22,0,24,10,2020,21.825599,75.614182,0.0829532973,11,303.98
Chandigarh,Chandigarh,Dengue,11,0,15,11,2020,30.72984395,76.78414567,0.0003842740343,0,299.09
Tamil Nadu,Virudhunagar,Dengue,15,0,11,11,2020,9.5208936,77.8784564,0.2187206529,12,302.26
Maharashtra,Osmanabad,Dengue,9,0,11,11,2020,18.16984395,76.11796321,0.0000875,7,307.676
Maharashtra,Osmanabad,Dengue And Chikungunya,7,0,31,10,2020,18.16984395,76.11796321,0.007537283688,0,304.896
Maharashtra,Pune,Dengue,16,1,18,11,2020,18.521428,73.8544541,0.001230150582,16,303.496
Maharashtra,Satara,Dengue,30,0,4,11,2020,17.63612885,74.29827808,0.004428378293,10,305.744
Maharashtra,Wardha,Dengue,4,0,22,10,2020,20.82562315,78.6131455,0.1725683766,0,302.92
Chandigarh,Chandigarh,Dengue,13,0,7,12,2020,30.72984395,76.78414567,0.0000718,7,294.7233334
Maharashtra,Akola,Suspected Dengue,40,0,2,12,2020,20.76181225,77.19211567,0.000015,0,304.7133334
Maharashtra,Pune,Dengue,5,0,1,6,2020,18.521428,73.8544541,0.03381872236,0,315.49
Maharashtra,Satara,Dengue,27,0,13,11,2020,17.63612885,74.29827808,0.0001970981421,9,305.1966666
Karnataka,Raichur,Dengue,29,0,16,12,2020,16.083333,77.166667,0.0004314396273,10,304.984
Tamil Nadu,Virudhunagar Sivakasi,Dengue,8,0,23,12,2020,9.4477045,77.8000434,0.2942502005,12,300.48
Tamil Nadu,Dharmapuri,Dengue,37,0,4,1,2019,12.09680475,78.19304301,0.02921215626,8,303.125
Tamil Nadu,Dharmapuri,Dengue And Chikungunya,11,0,4,1,2019,12.09680475,78.19304301,0.02921215626,8,303.125
Bihar,Siwan,Dengue,134,0,16,10,2018,26.1310043,84.39125661,0.1032550294,0,300.888
Chhattisgarh,Bastar,Dengue,5,0,10,12,2018,19.11912825,81.82918649,0.005192771959,0,301.388
Assam,Jorhat,Dengue,12,0,6,1,2019,26.7577925,94.2079645,0.02072528327,34,293.6033334
Maharashtra,Nashik,Dengue,27,1,28,10,2018,20.0112475,73.7902364,0.002509383523,10,308.124
